,response_datetime,problem,is_911_call,primary_offense,subject_injury,force_type,force_type_action,race,sex,age,type_resistance,precinct,neighborhood,subject_injury_nan
0,2016/01/01 00:47:36,Assault in Progress ,Yes,DASLT1,,Bodily Force,Body Weight to Pin,Black,Male,20.0,Tensed,1,Downtown East,1
1,2016/01/01 02:19:34,Fight ,No,DISCON,,Chemical Irritant,Personal Mace,Black,Female,27.0,Verbal Non-Compliance,1,Downtown West,1
2,2016/01/01 02:19:34,Fight ,No,DISCON,,Chemical Irritant,Personal Mace,White,Female,23.0,Verbal Non-Compliance,1,Downtown West,1
3,2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West,1
4,2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West,1
5,2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West,1
6,2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Female,20.0,Commission of Crime,1,Downtown West,1
7,2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West,1
8,2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Unspecified,1,Downtown West,1
9,2016/01/01 02:38:23,Fight ,No,DISCON,0.0,Chemical Irritant,Crowd Control Mace,Black,Male,18.0,commission of crime,1,Downtown West,0
10,2016/01/01 02:38:23,Fight ,No,DISCON,0.0,Chemical Irritant,Chemical Munitions,Black,Male,18.0,commission of crime,1,Downtown West,0
11,2016/01/01 02:39:47,Suspicious Person ,No,DISCON,1.0,Bodily Force,Body Weight to Pin,Black,Male,21.0,Tensed,5,Lowry Hill East,0
12,2016/01/01 02:39:47,Suspicious Person ,No,DISCON,1.0,Bodily Force,Joint Lock,Black,Male,21.0,Tensed,5,Lowry Hill East,0
13,2016/01/01 02:39:47,Suspicious Person ,No,DISCON,1.0,Bodily Force,Body Weight to Pin,Black,Male,21.0,Tensed,5,Lowry Hill East,0
14,2016/01/01 03:11:20,Chase on Foot ,No,FLEE,0.0,Bodily Force,Body Weight to Pin,Black,Male,17.0,Fled in Vehicle,3,Ventura Village,0
15,2016/01/01 03:11:20,Chase on Foot ,No,FLEE,0.0,Bodily Force,Knees,Black,Male,17.0,Fled in Vehicle,3,Ventura Village,0
16,2016/01/01 03:22:39,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,18.0,Verbal Non-Compliance,1,Downtown West,1
17,2016/01/01 03:22:39,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,18.0,Verbal Non-Compliance,1,Downtown West,1
18,2016/01/01 15:22:04,Check the Welfare ,Yes,THREAT,,Bodily Force,Body Weight to Pin,Native American,Male,63.0,Commission of Crime,5,Lyndale,1
19,2016/01/01 17:47:46,Unwanted Person ,Yes,FORCE,0.0,Bodily Force,Knees,White,Male,26.0,Tensed,5,Whittier,0
20,2016/01/02 20:09:25,Suspicious Person ,No,OBSTRU,,Bodily Force,Joint Lock,Black,Male,43.0,Tensed,4,Folwell,1
21,2016/01/02 20:09:25,Suspicious Person ,No,OBSTRU,,Bodily Force,Push Away,Black,Male,43.0,Tensed,4,Folwell,1
22,2016/01/02 20:09:25,Suspicious Person ,No,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,43.0,Tensed,4,Folwell,1
23,2016/01/03 00:33:28,Stabbing ,No,ASLT2,0.0,Taser,Red Dot,Black,Male,27.0,Commission of Crime,1,Downtown West,0
24,2016/01/03 00:33:28,Stabbing ,No,ASLT2,0.0,Bodily Force,Body Weight to Pin,Black,Male,27.0,Commission of Crime,1,Downtown West,0
25,2016/01/03 01:43:45,Disturbance ,No,ASLT4,1.0,Bodily Force,Punches,White,Male,25.0,Assaulted Officer,1,Downtown West,0
26,2016/01/03 02:00:41,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Female,22.0,Commission of Crime,4,Hawthorne,1
27,2016/01/03 02:00:41,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,25.0,Commission of Crime,4,Hawthorne,1
28,2016/01/03 02:00:41,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,22.0,Commission of Crime,4,Hawthorne,1
29,2016/01/03 02:15:28,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,22.0,Commission of Crime,2,Marcy Holmes,1
30,2016/01/03 02:22:18,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,18.0,Commission of Crime,1,Downtown West,1
31,2016/01/03 02:48:32,Suspicious Person ,No,OBSTRU,,Bodily Force,Push Away,White,Female,24.0,Commission of Crime,1,Downtown West,1
32,2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,0.0,Improvised Weapon,Other (specify),Black,Male,22.0,Commission of Crime,4,Willard - Hay,0
33,2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,0.0,Bodily Force,Body Weight to Pin,Black,Male,22.0,Commission of Crime,4,Willard - Hay,0
34,2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,0.0,Bodily Force,Joint Lock,Black,Male,22.0,Commission of Crime,4,Willard - Hay,0
35,2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,0.0,Bodily Force,Body Weight to Pin,Black,Male,22.0,Commission of Crime,4,Willard - Hay,0
36,2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,0.0,Improvised Weapon,Other (specify),Black,Male,22.0,Commission of Crime,4,Willard - Hay,0
37,2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,1.0,Bodily Force,Knees,Black,Male,22.0,Assaulted Officer,4,Willard - Hay,0
38,2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,1.0,Taser,Firing Darts,Black,Male,22.0,Assaulted Officer,4,Willard - Hay,0
39,2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,1.0,Bodily Force,Conscious Neck Restraint,Black,Male,22.0,Assaulted Officer,4,Willard - Hay,0
40,2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,1.0,Bodily Force,Punches,Black,Male,22.0,Assaulted Officer,4,Willard - Hay,0
41,2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,1.0,Bodily Force,Punches,Black,Male,22.0,Assaulted Officer,4,Willard - Hay,0
42,2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,1.0,Bodily Force,Push Away,Black,Male,22.0,Assaulted Officer,4,Willard - Hay,0
43,2016/01/04 18:12:59,Unknown Trouble ,No,ASLT4,1.0,Bodily Force,Body Weight to Pin,White,Male,54.0,Assaulted Officer,2,Audubon Park,0
44,2016/01/04 18:12:59,Unknown Trouble ,No,ASLT4,1.0,Bodily Force,Push Away,White,Male,54.0,Assaulted Officer,2,Audubon Park,0
45,2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Body Weight to Pin,White,Male,14.0,Tensed,5,Fulton,1
46,2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Body Weight to Pin,White,Male,14.0,Tensed,5,Fulton,1
47,2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Joint Lock,White,Male,14.0,Tensed,5,Fulton,1
48,2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Joint Lock,White,Male,14.0,Tensed,5,Fulton,1
49,2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Female,20.0,Tensed,4,Harrison,1
50,2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Female,20.0,Tensed,4,Harrison,1
51,2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Push Away,Black,Female,20.0,Tensed,4,Harrison,1
52,2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Female,20.0,Tensed,4,Harrison,1
53,2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Female,20.0,Tensed,4,Harrison,1
54,2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Female,20.0,Tensed,4,Harrison,1
55,2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Push Away,Black,Female,20.0,Tensed,4,Harrison,1
56,2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,0.0,Bodily Force,Knees,Native American,Male,42.0,Tensed,3,Midtown Phillips,0
57,2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,0.0,Bodily Force,Punches,Native American,Male,42.0,Tensed,3,Midtown Phillips,0
58,2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,0.0,Bodily Force,Body Weight to Pin,Native American,Male,42.0,Tensed,3,Midtown Phillips,0
59,2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,0.0,Bodily Force,Knees,Native American,Male,42.0,Tensed,3,Midtown Phillips,0
60,2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,0.0,Bodily Force,Punches,Native American,Male,42.0,Tensed,3,Midtown Phillips,0
61,2016/01/06 21:39:10,Motor Vehicle Chase ,No,FLEE,1.0,Bodily Force,Punches,Black,Male,27.0,Fled in Vehicle,3,Ventura Village,0
62,2016/01/06 21:39:10,Motor Vehicle Chase ,No,FLEE,1.0,Improvised Weapon,Flashlight,Black,Male,27.0,Fled in Vehicle,3,Ventura Village,0
63,2016/01/06 21:39:10,Motor Vehicle Chase ,No,FLEE,1.0,Bodily Force,Body Weight to Pin,Black,Male,27.0,Fled in Vehicle,3,Ventura Village,0
