,title,price,link,posted,latitude,longitude
0,hewlett packard usb keyboard and mouse combo,25.0,https://charlottesville.craigslist.org/sys/d/charlottesville-hewlett-packard-usb/7822789042.html,2025-01-31 05:46:21-05:00,38.0936,-78.5611
1,"dell inspiron 3647 desktop w/22"" monitor, keyboard, mouse",125.0,https://charlottesville.craigslist.org/sys/d/charlottesville-dell-inspiron-3647/7817235598.html,2025-01-10 14:11:55-05:00,38.006828,-78.599994
2,backbone one controller for iphone,50.0,https://charlottesville.craigslist.org/sys/d/culpeper-backbone-one-controller-for/7821754031.html,2025-01-27 12:40:58-05:00,38.439121,-77.99759
3,ibm viavoice,10.0,https://charlottesville.craigslist.org/sys/d/charlottesville-ibm-viavoice/7819623723.html,2025-01-19 13:45:26-05:00,38.017677,-78.471394
4,konica c360i color fax copier scanner booklet finisher like new,2000.0,https://charlottesville.craigslist.org/sys/d/aldie-konica-c360i-color-fax-copier/7822751432.html,2025-01-30 21:35:24-05:00,38.9577,-77.6038
5,> ink tanks - new : for canon printer/scanner/copier <,0.0,https://charlottesville.craigslist.org/sys/d/charlottesville-ink-tanks-new-for-canon/7820313449.html,2025-01-22 05:23:27-05:00,37.949855,-78.470106
6,"> canon ink tanks - new, still in wrappers <",0.0,https://charlottesville.craigslist.org/sys/d/charlottesville-canon-ink-tanks-new/7820313427.html,2025-01-22 05:22:56-05:00,37.948732,-78.461909
7,noctua custom chromax covers nnb,80.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-noctua-custom-chromax/7823136427.html,2025-02-01 11:33:23-05:00,38.2688,-77.5476
8,thermaltake view 31 complete pc ryzen system,900.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-thermaltake-view-31/7823104932.html,2025-02-01 09:47:04-05:00,38.2688,-77.5476
9,coolmaster q300l ryzen 7 pc tower only,1000.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-coolmaster-q300l-ryzen/7819320367.html,2025-01-18 10:22:33-05:00,38.2688,-77.5476
10,gaming tower only phanteks eclipse p400a atx white,1300.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-gaming-tower-only/7823095327.html,2025-02-01 09:02:15-05:00,38.2688,-77.5476
11,ryzen 7 3700x aresgame atx tower only,900.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-ryzen-aresgame-atx-tower/7823094798.html,2025-02-01 09:00:03-05:00,38.2688,-77.5476
12,alienware aurora r13 desktop (or trade),950.0,https://charlottesville.craigslist.org/sys/d/white-hall-alienware-aurora-r13-desktop/7819316885.html,2025-01-18 10:07:29-05:00,38.060028,-78.678074
13,jonsbo c6 matx pc tower only,700.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-jonsbo-c6-matx-pc-tower/7819320588.html,2025-01-18 10:23:28-05:00,38.2688,-77.5476
14,macbook air 13” m3,475.0,https://charlottesville.craigslist.org/sys/d/charlottesville-macbook-air-13-m3/7819730898.html,2025-01-19 21:54:26-05:00,37.99142,-78.533363
15,acer nitro 5 for sale cheap,300.0,https://charlottesville.craigslist.org/sys/d/ruckersville-acer-nitro-for-sale-cheap/7821952190.html,2025-01-28 06:01:42-05:00,38.2325,-78.3696
16,thermaltake h18 ryzen 7 2700x complete system,750.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-thermaltake-h18-ryzen/7815591095.html,2025-01-04 13:02:01-05:00,38.2688,-77.5476
17,antect 902 pc ryzen 7 1700x system,500.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-antect-902-pc-ryzen/7815590431.html,2025-01-04 13:00:18-05:00,38.2688,-77.5476
18,custom darkrock a8-x pc ryzen 7 7700x tower only,1400.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-custom-darkrock-a8-pc/7817673016.html,2025-01-12 09:59:28-05:00,38.2688,-77.5476
19,custom mustex g07 ryzen 9 7900x tower only,1600.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-custom-mustex-g07-ryzen/7816887417.html,2025-01-09 10:39:58-05:00,38.2688,-77.5476
20,montech x3 mesh complete pc ryzen system,800.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-montech-x3-mesh-complete/7813284284.html,2024-12-26 11:23:12-05:00,38.2688,-77.5476
21,bequite! purebase 500 tower only,800.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-bequite-purebase-500/7812498083.html,2024-12-22 11:01:51-05:00,38.2688,-77.5476
22,macbook air,400.0,https://charlottesville.craigslist.org/sys/d/charlottesville-macbook-air/7820070603.html,2025-01-21 09:51:46-05:00,38.0256,-78.6111
23,meshify-2 fractal design atx tower complete pc system,1600.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-meshify-fractal-design/7813283854.html,2024-12-26 11:21:46-05:00,38.2688,-77.5476
24,"apple powerbook g4 titanium a1025 15.2"" 1ghz 1gb 60gb",250.0,https://charlottesville.craigslist.org/sys/d/waynesboro-apple-powerbook-g4-titanium/7819415047.html,2025-01-18 15:07:48-05:00,38.0774,-78.9035
25,bequite! purebase 500 tower only,800.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-bequite-purebase-500/7819323129.html,2025-01-18 10:32:53-05:00,38.2688,-77.5476
26,"macbook pro 13"" 8gb 1tb 2016",350.0,https://charlottesville.craigslist.org/sys/d/charlottesville-macbook-pro-13-8gb-1tb/7818040598.html,2025-01-13 16:11:02-05:00,38.006828,-78.599994
27,"13"" apple macbook air 2014 1.7 i7 8gb ram 500gb ssd + big sur",120.0,https://charlottesville.craigslist.org/sys/d/charlottesville-13-apple-macbook-air-i7/7817990508.html,2025-01-13 13:47:21-05:00,38.006828,-78.599994
28,cougar pc tower only ryzen 9,900.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-cougar-pc-tower-only/7812500715.html,2024-12-22 11:13:01-05:00,38.2688,-77.5476
29,"17"" hp touchscreen laptop w/ac adapter recovery dvds",150.0,https://charlottesville.craigslist.org/sys/d/waynesboro-17-hp-touchscreen-laptop-ac/7817082339.html,2025-01-09 22:09:51-05:00,38.0774,-78.9035
30,"laptops, mini slim client workstation cpu towers, etc",60.0,https://charlottesville.craigslist.org/sys/d/charlottesville-laptops-mini-slim/7809706193.html,2024-12-11 19:50:25-05:00,38.0266,-78.4805
31,samsung galaxy tab s8 ultra (wifi) sm-x900 wifi 256gb graphite,375.0,https://charlottesville.craigslist.org/sys/d/charlottesville-samsung-galaxy-tab-s8/7814718708.html,2025-01-01 08:31:33-05:00,38.0936,-78.5611
32,intel i7 wifi gaming pc with mechanical keyboard and mouse,400.0,https://charlottesville.craigslist.org/sys/d/charlottesville-intel-i7-wifi-gaming-pc/7815160508.html,2025-01-02 20:34:49-05:00,38.0133,-78.5233
33,ryzen 7 2700x ga gaming tower,1100.0,https://charlottesville.craigslist.org/sys/d/fredericksburg-ryzen-ga-gaming-tower/7807243713.html,2024-12-03 09:49:42-05:00,38.2688,-77.5476
34,gateway za8 laptop w/ac adapter,20.0,https://charlottesville.craigslist.org/sys/d/waynesboro-gateway-za8-laptop-ac-adapter/7813724786.html,2024-12-27 21:45:09-05:00,38.0774,-78.9035
35,acer aspire one netbook w/ac adapter,30.0,https://charlottesville.craigslist.org/sys/d/waynesboro-acer-aspire-one-netbook-ac/7812396395.html,2024-12-21 18:52:52-05:00,38.0774,-78.9035
